".id","period","time","team","etype","player","points","result","x","y","r","angle"
"20081028.PORLAL",1,2010-02-02 00:04:06,"LAL","shot","Vladimir Radmanovic",NA,"missed",0.752790334401652,5.73869661195204,24.9170587223194,166.684561221011
"20081028.PORLAL",1,2010-02-02 00:03:34,"LAL","shot","Lamar Odom",NA,"missed",40.5238888035528,25.7055317426566,30.0294103464886,58.8717023758068
"20081028.PORLAL",1,2010-02-02 00:01:31,"LAL","shot","Trevor Ariza",3,"made",45.6325516190846,17.4082147066947,26.9953352560877,40.1551873752922
"20081028.PORLAL",1,2010-02-02 00:00:00,"LAL","shot","Sasha Vujacic",NA,"missed",37.4890769815538,30.4769706053194,32.9366479947289,67.7168022501661
"20081028.PORLAL",2,2010-02-02 00:06:32,"LAL","shot","Trevor Ariza",3,"made",42.8808396724053,24.0119760443922,29.9382601522989,53.3262936028393
"20081028.PORLAL",2,2010-02-02 00:01:58,"LAL","shot","Vladimir Radmanovic",3,"made",7.94881055969745,28.0369783339556,32.8148627214526,121.306623216758
"20081028.PORLAL",3,2010-02-02 00:09:00,"LAL","shot","Kobe Bryant",3,"made",15.8111705440097,29.3274575807154,30.7332776468755,107.396729080500
"20081028.PORLAL",3,2010-02-02 00:04:47,"LAL","shot","Vladimir Radmanovic",3,"made",1.35516659077257,5.07794515462592,24.1839548863189,167.879308541564
"20081028.PORLAL",4,2010-02-02 00:01:10,"LAL","shot","Jordan Farmar",3,"made",41.0070702440571,29.1226297873072,33.2318200453531,61.2048815412362
"20081029.LALLAC",1,2010-02-02 00:10:41,"LAL","shot","Vladimir Radmanovic",NA,"missed",9.22802788531408,28.3566966892686,32.4477634285263,119.082776998004
"20081029.LALLAC",1,2010-02-02 00:10:05,"LAL","shot","Derek Fisher",3,"made",39.7760714723263,27.1531513736118,30.9131997320492,61.4460640898124
"20081029.LALLAC",1,2010-02-02 00:08:24,"LAL","shot","Vladimir Radmanovic",3,"made",48.3944377745502,10.2094109910540,25.5251207944557,23.5766175794478
"20081029.LALLAC",1,2010-02-02 00:06:45,"LAL","shot","Kobe Bryant",NA,"missed",42.2331005800515,25.0486045486759,30.4041501351069,55.4725551912339
"20081029.LALLAC",1,2010-02-02 00:05:24,"LAL","shot","Derek Fisher",NA,"missed",44.2278323138598,27.7746526182164,33.7807765386248,55.3059249176876
"20081029.LALLAC",1,2010-02-02 00:00:01,"LAL","shot","Trevor Ariza",3,"made",48.5860745236278,6.3496176477056,24.4258174009833,15.0674024315336
"20081029.LALLAC",2,2010-02-02 00:08:35,"LAL","shot","Sasha Vujacic",NA,"missed",51.0225770131219,8.2106440239586,27.2871616276231,17.5115287075488
"20081029.LALLAC",2,2010-02-02 00:07:23,"LAL","shot","Sasha Vujacic",3,"made",43.5346980548929,24.5288290835451,30.7440805391188,52.9242428114169
"20081029.LALLAC",2,2010-02-02 00:04:58,"LAL","shot","Jordan Farmar",3,"made",21.9932437285315,33.090184369823,33.2265087679234,95.191952007094
"20081029.LALLAC",2,2010-02-02 00:04:09,"LAL","shot","Trevor Ariza",3,"made",43.1063837483525,24.4544004623313,30.4279285265144,53.4832296925628
"20081029.LALLAC",2,2010-02-02 00:01:45,"LAL","shot","Derek Fisher",3,"made",38.8912368754391,28.4088515623007,31.6232400145588,63.942492370367
"20081029.LALLAC",2,2010-02-02 00:00:36,"LAL","shot","Derek Fisher",3,"made",41.8309035364073,25.3236225883011,30.4066633297138,56.390694643226
"20081029.LALLAC",2,2010-02-02 00:00:08,"LAL","shot","Derek Fisher",NA,"missed",0.872575019253418,9.89365744637325,26.0771373787027,157.703497893097
"20081029.LALLAC",3,2010-02-02 00:06:57,"LAL","shot","Derek Fisher",NA,"missed",47.6788810845464,8.29299095552415,24.1475743344006,20.0859600369539
"20081029.LALLAC",3,2010-02-02 00:05:53,"LAL","shot","Vladimir Radmanovic",3,"made",0.834650266217068,4.95625743153505,24.6683727773781,168.409502337926
"20081029.LALLAC",3,2010-02-02 00:04:20,"LAL","shot","Kobe Bryant",NA,"missed",10.0268872780725,30.4829798431601,33.9618339419716,116.160078498261
"20081029.LALLAC",4,2010-02-02 00:11:29,"LAL","shot","Trevor Ariza",NA,"missed",48.7030923198909,6.02929550060071,24.4579023989964,14.271517824487
"20081029.LALLAC",4,2010-02-02 00:10:28,"LAL","shot","Jordan Farmar",3,"made",17.2166569936089,29.2868593144231,30.303474336418,104.883029839521
